,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
0,21.0,0.3333333333333333,"(7.095238095238095, 11.523809523809524)","(1.0158730158730158, 1.3154761904761905)","(111.23809523809523, 59.8095238095238)","(0.6503340757238307, 0.34966592427616927)"
1,25.0,0.46296296296296297,"(13.88, 11.32)","(2.576, 1.29)","(203.43999999999997, 74.64)","(0.7315880322209436, 0.2684119677790564)"
2,27.0,0.5,"(21.037037037037038, 11.222222222222221)","(4.007407407407408, 1.2777777777777777)","(202.66666666666669, 82.96296296296295)","(0.7095435684647304, 0.2904564315352697)"
3,13.0,0.28888888888888886,"(26.76923076923077, 9.76923076923077)","(6.4423076923076925, 1.0961538461538463)","(104.30769230769232, 22.3076923076923)","(0.8238153098420414, 0.17618469015795862)"
4,30.0,0.3409090909090909,"(36.06666666666667, 11.633333333333333)","(5.00952380952381, 1.0633333333333332)","(314.96666666666675, 121.86666666666667)","(0.7210225104921786, 0.2789774895078214)"
5,21.0,0.4666666666666667,"(42.42857142857143, 11.0)","(10.357142857142858, 1.25)","(188.0, 47.14285714285713)","(0.7995139732685298, 0.20048602673147017)"
6,23.0,0.41818181818181815,"(49.47826086956522, 10.478260869565217)","(12.119565217391305, 0.9478260869565217)","(253.73913043478262, 49.73913043478261)","(0.8361031518624642, 0.1638968481375358)"
7,35.0,0.3888888888888889,"(59.285714285714285, 10.942857142857143)","(6.476190476190476, 1.2428571428571429)","(203.88571428571416, 279.1428571428571)","(0.4220986631964982, 0.5779013368035019)"
8,19.0,0.4222222222222222,"(69.52631578947368, 10.789473684210526)","(17.13157894736842, 1.2236842105263157)","(165.1578947368421, 34.73684210526315)","(0.8262243285939969, 0.1737756714060031)"
9,26.0,0.48148148148148145,"(76.5, 11.153846153846153)","(15.1, 1.2692307692307692)","(163.38461538461542, 122.5)","(0.5715054486748286, 0.4284945513251715)"
10,26.0,0.3939393939393939,"(84.5, 11.153846153846153)","(16.7, 1.0153846153846153)","(163.38461538461542, 122.5)","(0.5715054486748286, 0.4284945513251715)"
11,22.0,0.4074074074074074,"(91.9090909090909, 11.181818181818182)","(18.18181818181818, 1.2727272727272727)","(129.2727272727273, 79.81818181818183)","(0.6182608695652174, 0.3817391304347826)"
12,22.0,0.4074074074074074,"(100.86363636363636, 10.636363636363637)","(19.972727272727273, 1.2045454545454546)","(167.0909090909091, 84.59090909090908)","(0.6638974173740293, 0.3361025826259707)"
13,29.0,0.4027777777777778,"(108.93103448275862, 10.620689655172415)","(15.41871921182266, 1.2025862068965518)","(164.82758620689657, 185.86206896551724)","(0.47000983284169123, 0.5299901671583087)"
14,22.0,0.4074074074074074,"(117.5, 11.0)","(23.3, 1.25)","(120.0, 117.5)","(0.5052631578947369, 0.49473684210526314)"
15,24.0,0.3333333333333333,"(125.875, 11.25)","(17.839285714285715, 1.28125)","(188.5, 122.625)","(0.6058658095620731, 0.39413419043792686)"
16,22.0,0.4074074074074074,"(134.5, 10.272727272727273)","(26.7, 1.1590909090909092)","(172.36363636363632, 117.5)","(0.5946369766347812, 0.40536302336521884)"
17,21.0,0.4666666666666667,"(141.52380952380952, 10.047619047619047)","(35.13095238095238, 1.130952380952381)","(112.95238095238093, 53.23809523809524)","(0.6796561604584527, 0.3203438395415473)"
18,17.0,0.2698412698412698,"(148.8235294117647, 11.470588235294118)","(24.637254901960784, 1.3088235294117647)","(170.23529411764707, 54.47058823529413)","(0.7575916230366492, 0.2424083769633508)"
19,14.0,0.25925925925925924,"(156.78571428571428, 9.571428571428571)","(31.157142857142855, 1.0714285714285714)","(111.42857142857143, 18.35714285714286)","(0.8585580627407816, 0.14144193725921853)"
20,18.0,0.4,"(163.77777777777777, 10.944444444444445)","(40.69444444444444, 1.2430555555555556)","(104.94444444444446, 35.11111111111112)","(0.7493058310194367, 0.2506941689805633)"
21,30.0,0.4166666666666667,"(172.13333333333333, 11.033333333333333)","(24.447619047619046, 1.2541666666666667)","(154.96666666666664, 133.46666666666673)","(0.5372703108748409, 0.462729689125159)"
22,21.0,0.3888888888888889,"(180.1904761904762, 11.095238095238095)","(35.83809523809524, 1.2619047619047619)","(121.80952380952378, 49.23809523809525)","(0.7121380846325166, 0.28786191536748335)"
23,25.0,0.3246753246753247,"(187.92, 12.24)","(31.153333333333332, 1.124)","(222.5600000000001, 149.83999999999997)","(0.5976369495166488, 0.4023630504833511)"
24,17.0,0.3148148148148148,"(195.47058823529412, 10.411764705882353)","(38.89411764705882, 1.1764705882352942)","(84.11764705882354, 54.23529411764704)","(0.6079931972789117, 0.3920068027210883)"
25,32.0,0.35555555555555557,"(203.875, 11.875)","(22.541666666666668, 1.359375)","(235.5, 299.5)","(0.44018691588785047, 0.5598130841121496)"
26,34.0,0.2809917355371901,"(216.1764705882353, 12.088235294117647)","(21.51764705882353, 1.1088235294117648)","(260.73529411764713, 348.9411764705884)","(0.4276617299435572, 0.5723382700564427)"
27,21.0,0.3333333333333333,"(226.95238095238096, 11.333333333333334)","(37.65873015873016, 1.2916666666666667)","(160.66666666666666, 62.95238095238096)","(0.7184838160136285, 0.2815161839863714)"
28,29.0,0.4027777777777778,"(235.93103448275863, 11.96551724137931)","(33.56157635467981, 1.3706896551724137)","(158.96551724137927, 171.8620689655171)","(0.4805086512403587, 0.5194913487596412)"
29,21.0,0.3888888888888889,"(244.76190476190476, 12.142857142857142)","(48.75238095238095, 1.3928571428571428)","(114.57142857142858, 67.80952380952381)","(0.6281984334203655, 0.3718015665796344)"
30,22.0,0.4074074074074074,"(252.86363636363637, 10.863636363636363)","(50.372727272727275, 1.2329545454545454)","(172.59090909090907, 66.59090909090912)","(0.7215887495248954, 0.2784112504751046)"
31,33.0,0.36666666666666664,"(262.09090909090907, 11.06060606060606)","(29.010101010101007, 1.2575757575757576)","(231.87878787878788, 362.7272727272726)","(0.3899704413413516, 0.6100295586586483)"
32,23.0,0.42592592592592593,"(272.30434782608694, 10.521739130434783)","(54.26086956521739, 1.190217391304348)","(155.73913043478262, 56.86956521739133)","(0.7325153374233128, 0.2674846625766872)"
