,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,33.0,0.2357142857142857,"(4.181818181818182, 8.393939393939394)","(0.35353535353535354, 0.5687645687645688)","(297.87878787878776, 164.90909090909093)","(0.6436616029334729, 0.3563383970665271)"
Б,41.0,0.3253968253968254,"(3.268292682926829, 8.24390243902439)","(0.28353658536585363, 0.5572232645403378)","(489.5609756097561, 192.04878048780492)","(0.7182423244829313, 0.2817576755170687)"
В,48.0,0.38095238095238093,"(3.6875, 7.895833333333333)","(0.3359375, 0.530448717948718)","(526.4791666666665, 244.3125)","(0.683036920914644, 0.31696307908535604)"
Г,26.0,0.23214285714285715,"(1.9615384615384615, 7.230769230769231)","(0.13736263736263735, 0.47928994082840237)","(304.6153846153846, 40.961538461538424)","(0.8814691151919868, 0.11853088480801328)"
Д,49.0,0.2620320855614973,"(5.387755102040816, 9.020408163265307)","(0.4387755102040816, 0.5012755102040817)","(702.9795918367344, 327.6326530612246)","(0.6820990099009898, 0.31790099009901)"
Е,36.0,0.2857142857142857,"(2.8055555555555554, 8.0)","(0.22569444444444442, 0.5384615384615384)","(470.0, 127.63888888888889)","(0.7864280734371368, 0.2135719265628631)"
Ё,39.0,0.30952380952380953,"(2.8461538461538463, 7.384615384615385)","(0.23076923076923078, 0.4911242603550296)","(647.2307692307697, 133.0769230769231)","(0.8294558359621452, 0.1705441640378548)"
Ж,50.0,0.23809523809523808,"(7.0, 7.92)","(0.42857142857142855, 0.5323076923076923)","(417.68, 632.0)","(0.3979117445316668, 0.6020882554683332)"
З,29.0,0.23015873015873015,"(4.344827586206897, 6.9655172413793105)","(0.4181034482758621, 0.45888594164456237)","(372.96551724137925, 102.55172413793102)","(0.7843364757070341, 0.21566352429296592)"
И,56.0,0.4,"(4.5, 8.0)","(0.3888888888888889, 0.5384615384615384)","(508.0, 422.0)","(0.546236559139785, 0.45376344086021503)"
Й,61.0,0.4357142857142857,"(4.508196721311475, 7.377049180327869)","(0.389799635701275, 0.49054224464060525)","(774.3278688524595, 427.2459016393442)","(0.6444280724732592, 0.35557192752674066)"
К,41.0,0.29285714285714287,"(3.4634146341463414, 7.7560975609756095)","(0.27371273712737126, 0.5196998123827392)","(391.5609756097562, 224.1951219512196)","(0.6359027172621405, 0.36409728273785946)"
Л,39.0,0.2785714285714286,"(5.564102564102564, 7.6923076923076925)","(0.5071225071225071, 0.514792899408284)","(442.30769230769255, 219.58974358974362)","(0.6682420392035331, 0.33175796079646697)"
М,50.0,0.2976190476190476,"(4.52, 7.74)","(0.31999999999999995, 0.5184615384615385)","(439.6199999999999, 496.47999999999985)","(0.469629313107574, 0.5303706868924261)"
Н,47.0,0.3357142857142857,"(4.446808510638298, 8.106382978723405)","(0.3829787234042553, 0.546644844517185)","(414.4680851063829, 405.6170212765956)","(0.5053964300539644, 0.4946035699460357)"
О,39.0,0.2532467532467532,"(5.17948717948718, 7.0)","(0.41794871794871796, 0.46153846153846156)","(462.0, 343.7435897435897)","(0.5733834012219959, 0.42661659877800406)"
